,name,x,y,layer,i,j
282,68159RP,5088325.997429,17463357.002214,1,258,540
283,68163AA,5125537.00169,17494698.003431,1,255,577
284,68163DD,5121931.997682,17502280.996956,1,249,578
285,68163FF,5121149.996102,17498108.001597,1,251,575
286,68166HC,5127561.9972169995,17484056.999306,1,262,573
287,68167ML,5105722.000548,17470869.999976,1,261,554
288,68168NB,5112397.9971239995,17470739.003935,1,264,558
289,68169FW,5123773.995526999,17473758.998381,1,267,566
290,68225CC,5038542.996099,17432862.997263,1,256,496
291,68226BF,5047727.006277,17430468.999489002,1,261,500
292,68226BH,5046243.003695,17429916.002136,1,261,499
293,68228AA,5038721.995964,17421826.999785002,1,262,491
294,68228BB,5032374.997201,17424552.001917,1,258,488
295,68233DW,5093992.005029,17450041.999671,1,269,538
296,68235CM1,5074590.997256,17429218.001222,1,273,516
297,6823616A,5091670.002908,17441688.000253,1,273,533
298,6823619B,5090645.997695,17442780.001116,1,272,532
299,68241JF,5100658.001011,17457682.996558,1,267,545
300,68293AA,5012587.006444001,17403056.999441,1,263,467
301,68299BB,5004147.998388,17372711.0016,1,278,448
302,68299CC,5004159.004699,17371988.001464,1,278,448
303,68302AA,5032951.994469999,17402212.000339,1,272,479
304,68302BB,5033502.000137,17402321.003656,1,272,479
305,68302CC,5029727.998375,17399534.001539998,1,272,476
306,68302LH,5032673.003951999,17406802.000009,1,269,481
307,68307AA,5016091.000337999,17372578.003698997,1,283,456
308,68339AA,4850555.0048010005,17317106.999599,1,246,329
309,68377AA,4977783.000486,17333077.002311,1,291,415
310,68415AA,4841219.000622001,17295086.005898997,1,255,313
311,68416AA,4853141.003984,17301505.998669,1,256,324
312,68419AA,4856856.000207,17283108.003071,1,270,318
313,68422AA,4877926.001596,17317065.003489003,1,258,346
314,68437AA,4905706.002588,17286799.003176,1,288,350
315,69369AA,4660805.998449,17319052.000099,1,162,212
316,69396AA,4770256.998217,17339631.994398,1,197,289
317,69438AA,4595640.998137999,17285189.997499,1,155,157
318,69439AA,4615763.9987389995,17277294.00179,1,168,166
319,69443AA,4652823.997725,17304320.000570003,1,168,200
320,69472AA,4754608.0030809995,17307861.00018,1,210,265
321,69475AA,4760369.005026001,17291837.997947,1,222,262
322,69489AA,4805947.999613,17278051.994737,1,251,284
323,69493AA,4539313.998175,17269097.002308,1,140,115
324,69501AA,4551574.9979489995,17267323.998806,1,147,122
325,69502AA,4557750.999613,17256879.001403,1,156,121
326,69502BB,4558254.998321,17268214.994334,1,149,126
327,69502CC,4560672.000122,17256534.995745998,1,157,123
328,69502DD,4554951.997157,17266477.998563,1,149,123
329,69503AA,4566632.998785,17269733.996402,1,152,132
330,69503BB,4577440.996216999,17270168.998248,1,156,139
331,69503CC,4577934.998188,17259162.003670998,1,163,134
332,69505AA,4553534.994243,17249746.001643,1,158,115
333,69505BB,4565869.9970269995,17250813.003728,1,163,123
334,69506AA,4571304.996625,17250586.998922,1,166,127
335,69511AA,4582018.004671,17268240.997442,1,159,141
